timepoint_id,timepoint_code,timepoint_name,timepoint_desc,timepoint_lat,timepoint_lon,zone_id,timepoint_url,location_type,parent_station,timepoint_timezone,wheelchair_boarding
73,3129,"Richmond Hwy and Belford Dr",,38.744494,-77.084229,,,,,,0
74,2458,"8000 Jones Branch Dr",,38.931553,-77.221254,,,,,,1
75,1840,"1070 Elden St",,38.966397,-77.396674,,,,,,1
76,3182,"Richmond Hwy and Russell Rd",,38.733776,-77.099363,,,,,,0
79,4232,"Little Rocky Run Cir and Wild Brook Ct",,38.833589,-77.423691,,,,,,1
80,2308,"Hooes Rd and Adrienne Glen Ave",,38.756740,-77.235590,,,,,,1
82,1265,"Backlick Rd and Cumberland Ave",,38.783310,-77.185570,,,,,,1
84,4128,"Bushman Dr and Valentino Dr E",,38.871920,-77.295120,,,,,,1
85,3407,"Soapstone Dr and Catalpa Ct",,38.923336,-77.344475,,,,,,1
86,2142,"Glade Dr and Acton Dr",,38.925971,-77.334420,,,,,,1
87,1582,"Centreville Rd and Clear Lake Ct",,38.930750,-77.414630,,,,,,1
88,5435,"Westmoreland and Southridge",,38.920941,-77.181297,,,,,,0
90,5665,"Lewinsville Rd and Titania La",,38.941119,-77.218612,,,,,,1
91,3699,"Vantage Rd and Coldbrooke Ct",,38.767640,-77.109050,,,,,,1
92,1845,"390 Elden St",,38.969410,-77.374310,,,,,,1
93,621,"Pole Rd and Keeler St",,38.731310,-77.115880,,,,,,1
94,3880,"Hummer Rd and Horseshoe Dr",,38.835797,-77.209971,,,,,,1
95,2573,"Lake Braddock Dr and Burdett Rd",,38.803750,-77.274140,,,,,,1
96,3497,"Sunrise Vly Dr and Campus Commons Dr (West)",,38.943821,-77.337239,,,,,,1
97,905,"Fort Hunt Rd and Gahant Rd",,38.743870,-77.057050,,,,,,1
98,2712,"Lorton Station Blvd and Lorton Rd",,38.705710,-77.211320,,,,,,1
99,2475,"John Marr Dr and Tom David Dr",,38.830478,-77.189759,,,,,,1
100,1972,"Fordson Rd and Beechcraft Dr",,38.753852,-77.086041,,,,,,1
101,1749,"Deepford St and Frontier Dr",,38.784150,-77.171260,,,,,,1
102,2851,"Newington Forest Ave and Curving Creek Ct",,38.738760,-77.242610,,,,,,1
103,3426,"Soapstone Dr and Purple Beech Dr",,38.940096,-77.345600,,,,,,1
104,3719,"S Van Dorn St and Kingstowne Blvd",,38.773860,-77.133510,,,,,,1
105,3331,"Sunset Hills Rd and Samuel Morse Dr",,38.947826,-77.330675,,,,,,1
106,1345,"Beulah St and Miller Dr",,38.755957,-77.164016,,,,,,1
107,3867,"Fair Oaks Mall",,38.863727,-77.360322,,,,,,0
108,4223,"Lee Jackson Hwy and Stringfellow Rd",,38.884644,-77.406263,,,,,,1
109,3125,"Rose Hill Dr and Apple Tree Dr",,38.780976,-77.117812,,,,,,1
110,3955,"Reston South P+R Bay B",,38.925897,-77.372258,,,,,,1
111,3617,"Telegraph Rd and Dunsmore Rd",,38.760970,-77.133030,,,,,,1
112,1141,"Edsall Rd and Montgomery St",,38.807070,-77.175810,,,,,,1
115,5984,"Monument Dr and Fields Brigade Rd",,38.866319,-77.377663,,,,,,1
116,3204,"Ring Rd and Westhills La",,38.972370,-77.324200,,,,,,1
117,1497,"Bowman Towne Dr and Reston Pkwy",,38.962260,-77.354750,,,,,,1
118,2079,"Gallows Rd and Cottage St",,38.886970,-77.227260,,,,,,1
119,4052,"Braddock Rd and Orchard Hill La",,38.832958,-77.415286,,,,,,1
120,730,"Huntington Ave and Fenwick Dr",,38.795650,-77.074100,,,,,,0
121,1275,"Backlick Rd and Industrial Rd",,38.799960,-77.185300,,,,,,1
122,2439,"Industrial Rd and Fairfax Archives",,38.798440,-77.179590,,,,,,1
123,3086,"Pole Rd and Keeler St",,38.731330,-77.116240,,,,,,1
124,2971,"Old Keene Mill Rd and Millwood Dr",,38.778290,-77.236950,,,,,,1
125,3139,"Richmond Hwy and Cooper Rd",,38.720470,-77.125100,,,,,,0
126,1366,"Becontree and Goldenrain",,38.968200,-77.329910,,,,,,0
