stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
669,2113,"Gallows Rd and Prescott Dr",,38.878240,-77.227680,,,,,,1
670,2114,"Gallows Rd and Strawberry La",,38.871353,-77.227438,,,,,,1
671,2115,"Gallows Rd and Thor Dr",,38.848690,-77.208070,,,,,,1
672,2116,"Gallows Rd and Thor Dr",,38.848700,-77.208560,,,,,,1
673,2117,"Gallows Rd and Townsend St",,38.860752,-77.226520,,,,,,1
674,2118,"Gallows Rd and Townsend St",,38.859760,-77.226470,,,,,,1
675,2119,"Gallows Rd and Woodburn Rd",,38.857470,-77.225870,,,,,,1
676,2120,"Gallows Rd and Trammell Rd",,38.847960,-77.206280,,,,,,1
677,2121,"Gallows Rd and Wheatwheel La",,38.852810,-77.218230,,,,,,1
678,2122,"Gallows Rd and Wolftrap Dr",,38.902130,-77.223225,,,,,,1
680,2124,"Wolftrap",,38.901640,-77.223610,,,,,,1
681,2125,"Gallows Rd and Willow Oaks Corporate Dr",,38.863610,-77.227433,,,,,,1
682,2126,"Gallows Rd and Woodburn Rd",,38.858070,-77.225610,,,,,,1
684,2128,"Government Center Pkwy and Forum Dr E",,38.851284,-77.355384,,,,,,1
685,2129,"Government Center Pkwy and Forum Dr W",,38.852186,-77.357546,,,,,,1
686,2130,"Government Center Pkwy and Forum Dr W",,38.851938,-77.357641,,,,,,1
687,2131,"Government Center Pkwy and Forum Dr E",,38.851158,-77.355723,,,,,,1
688,2133,"Government Center Pkwy and Monument Way",,38.856578,-77.353546,,,,,,1
689,2134,"Government Center Pkwy and Oakdale Crescent Ct",,38.851608,-77.351486,,,,,,1
690,2135,"Fairfax Goverment Center",,38.853440,-77.358247,,,,,,1
691,2137,"Government Center Pkwy and Runabout La",,38.851428,-77.352320,,,,,,1
692,2141,"Gunston Hill La and Groom Cottage Dr",,38.697528,-77.220058,,,,,,1
693,2142,"Glade Dr and Acton Dr",,38.925971,-77.334420,,,,,,1
694,2143,"Glade Dr and Ansdel Ct",,38.931008,-77.357283,,,,,,1
695,2145,"Glade Dr and Breton Ct",,38.934533,-77.361396,,,,,,1
696,2146,"Glade Dr and Charterhouse Cir",,38.931439,-77.357489,,,,,,1
697,2147,"Glade Dr and Crows Nest La",,38.925707,-77.339774,,,,,,1
698,2148,"Glade Dr and Cocquina Dr",,38.946960,-77.374320,,,,,,1
699,2149,"Glade Dr and Cocquina Dr",,38.946890,-77.374540,,,,,,1
700,2150,"Glade Dr and Compass Point La",,38.926130,-77.333979,,,,,,1
701,2151,"Glade Dr and Dosinia Ct",,38.941640,-77.368590,,,,,,1
702,2152,"Glade Dr and Freetown Ct",,38.935880,-77.367770,,,,,,1
703,2153,"Glade Dr and Freetown Dr",,38.935920,-77.367960,,,,,,1
704,2154,"Glade Dr and Green Range Dr",,38.937000,-77.367460,,,,,,1
705,2155,"Glade Dr and Green Range Dr S",,38.936730,-77.367820,,,,,,1
706,2156,"Glade Dr and Laurel Glade Ct",,38.941630,-77.368070,,,,,,1
707,2157,"Glade Dr and Marginella Dr",,38.944840,-77.375100,,,,,,1
708,2158,"Glade Dr and Marginella Dr",,38.944540,-77.374790,,,,,,1
709,2159,"Glade Dr and Middle Creek La",,38.929693,-77.353299,,,,,,1
710,2160,"Glade Dr and Green Range Dr N",,38.939370,-77.366390,,,,,,1
711,2161,"Glade Dr and Millrace La",,38.939450,-77.366180,,,,,,1
712,2162,"Glade Dr and Old Trail Dr",,38.926765,-77.348528,,,,,,1
713,2163,"Glade Dr and Quartermaster La",,38.925843,-77.337045,,,,,,1
714,2164,"Glade Dr and Quartermaster La",,38.925771,-77.336473,,,,,,1
715,2165,"Glade Dr and Ridgehampton Ct",,38.934800,-77.365370,,,,,,1
716,2166,"Glade Dr and Red Maple La",,38.926657,-77.348589,,,,,,1
717,2167,"Glade Dr and Rosedown Dr",,38.942500,-77.372390,,,,,,1
718,2168,"Glade Dr and Rosedown Dr",,38.942390,-77.372490,,,,,,1
719,2169,"Glade Dr and Reston Pkwy",,38.934580,-77.365650,,,,,,1
720,2170,"Glade Dr and Sugarberry Ct",,38.929585,-77.353765,,,,,,1
721,2171,"Glade Dr and Soapstone Dr",,38.926172,-77.344945,,,,,,1
722,2172,"Glade Dr and Twin Branches Rd",,38.931371,-77.325382,,,,,,1
724,2174,"Glade Dr and Triple Crown Rd",,38.927667,-77.351874,,,,,,1
725,2175,"Glade Dr and Triple Crown Rd",,38.927967,-77.351854,,,,,,1
726,2176,"Glade Dr and Timberhead La",,38.927645,-77.329925,,,,,,1
727,2177,"Glade Dr and Timberhead La",,38.927395,-77.329994,,,,,,1
728,2178,"Glade Dr and Thrush Ridge Rd",,38.929241,-77.327897,,,,,,1
729,2179,"Glade Dr and Thrush Ridge Rd",,38.929260,-77.327638,,,,,,1
730,2180,"Glade Dr and Twin Branches Rd",,38.931282,-77.325314,,,,,,1
731,2211,"Greensboro Dr and International Dr",,38.922730,-77.227807,,,,,,1
732,2218,"Herndon Harbor House",,38.973960,-77.388750,,,,,,1
733,2219,"Greensboro Dr and Solutions Dr",,38.923079,-77.230662,,,,,,1
734,2220,"Greensboro Dr and Pinnacle Dr",,38.922668,-77.230497,,,,,,1
735,2227,"Glade Dr and Tumbletree Way",,38.925612,-77.340178,,,,,,1
736,2228,"Greensboro Dr and The Rotonda",,38.926145,-77.233668,,,,,,1
737,2229,"Greensboro Dr and The Rotonda",,38.925945,-77.233692,,,,,,1
738,2230,"Greensboro Dr and Westpark Dr",,38.924419,-77.232191,,,,,,1
739,2231,"Greensboro Dr and Westpark Dr",,38.924755,-77.232231,,,,,,1
740,2232,"Guinea Rd and Bronte Dr",,38.809550,-77.278270,,,,,,1
741,2233,"Guinea Rd and Bronte Dr",,38.809150,-77.278230,,,,,,1
742,2235,"Guinea Rd and Falmead Rd (East)",,38.799560,-77.292000,,,,,,1
743,2236,"Guinea Rd and Harford La",,38.810610,-77.268860,,,,,,1
744,2237,"Guinea Rd and Lakepointe Dr",,38.801660,-77.285060,,,,,,1
745,2238,"Guinea Rd and Lakepointe Dr",,38.801190,-77.285260,,,,,,1
746,2239,"Guinea Rd and Olley La",,38.810430,-77.268450,,,,,,1
747,2240,"Guinea Rd and Pierrpont St",,38.804390,-77.282330,,,,,,1
748,2241,"Guinea Rd and Pierrpont St",,38.804220,-77.282760,,,,,,1
749,2243,"Guinea Rd and Queens Woods Dr",,38.810210,-77.272980,,,,,,1
750,2244,"Guinea Rd and Sandy Lewis Dr",,38.799290,-77.292530,,,,,,1
751,2255,"G.W.M. Pkwy and Vernon View Dr",,38.710270,-77.063000,,,,,,1
752,2258,"Hanover Ave and Bath St",,38.784090,-77.193700,,,,,,1
753,2259,"Hanover Ave and Charlotte St",,38.783560,-77.194110,,,,,,1
754,2260,"Hanover Ave and Essex Ave",,38.786520,-77.193690,,,,,,1
755,2261,"Hanover Ave and Essex Ave",,38.785750,-77.193240,,,,,,1
756,2262,"Hanover Ave and Exmore St",,38.781590,-77.194560,,,,,,1
757,2263,"Hanover Ave and Falmouth St",,38.781110,-77.194850,,,,,,1
758,2264,"Hanover Ave and Floyd Ave",,38.788840,-77.195050,,,,,,1
759,2265,"Hanover Ave and Floyd Ave",,38.788230,-77.194500,,,,,,1
760,2266,"Harrison La and Groveton St",,38.770498,-77.093632,,,,,,1
761,2267,"Harrison La and Groveton St",,38.770378,-77.093788,,,,,,1
763,2272,"Hayfield Rd and Rock Cliff La",,38.761770,-77.150340,,,,,,1
764,2273,"Hayfield Rd and Spring Faire Ct",,38.761580,-77.149770,,,,,,1
765,2275,"Helmsdale La and Amesbury Ct",,38.755291,-77.137963,,,,,,1
766,2277,"Helmsdale La and Blanford Ct",,38.755459,-77.141076,,,,,,1
767,2278,"Helmsdale La and Brighouse Ct",,38.755126,-77.140814,,,,,,1
768,2279,"Helmsdale La and Duddington Dr",,38.755456,-77.138253,,,,,,1
769,2281,"Helmsdale La and Lund Ct",,38.752376,-77.131498,,,,,,1
770,2282,"Telegraph Rd and Helmsdale La",,38.755460,-77.137450,,,,,,1
771,2283,"Hinson Farm Rd and Tis Well Dr",,38.737950,-77.077470,,,,,,1
772,2284,"Highland St and Brunswick St",,38.791200,-77.188020,,,,,,1
773,2285,"Highland St and Brunswick St",,38.791090,-77.188410,,,,,,1
774,2286,"Highland St and Dinwiddie St",,38.791610,-77.190540,,,,,,1
775,2287,"Highland St and Dinwiddie St",,38.791480,-77.190540,,,,,,1
776,2290,"Highland St and Gloucester Ave",,38.792320,-77.192220,,,,,,1
777,2291,"Highland St and Hanover Ave",,38.793510,-77.195410,,,,,,1
778,6462,"Beacon Hill Rd and Richmond Hwy",,38.772030,-77.080630,,,,,,1
779,2308,"Hooes Rd and Adrienne Glen Ave",,38.756740,-77.235590,,,,,,1
780,2311,"Holland Rd and Holland Rd",,38.739430,-77.078850,,,,,,1
781,2312,"Hooes Rd and Fairfax County Pkwy",,38.750140,-77.244450,,,,,,1
783,2314,"Hooes Rd and Hooes Rd",,38.745140,-77.249910,,,,,,1
784,2315,"Hooes Rd and Innisfree Dr",,38.754090,-77.242620,,,,,,1
785,2316,"8520 Hooes Rd",,38.755600,-77.239780,,,,,,1
786,2317,"Hooes Rd and Lauren Dr",,38.752100,-77.244810,,,,,,1
787,2319,"Hooes Rd and Linden Tree La",,38.757380,-77.233899,,,,,,1
788,2324,"Hooes Rd and Pohick Rd",,38.745920,-77.247870,,,,,,1
789,2325,"Hooes Rd and Scarborough St",,38.756320,-77.235070,,,,,,1
790,2326,"Hooes Rd and Gambrill Rd",,38.756640,-77.234170,,,,,,1
791,2330,"Hooes Dr and Shady Palm Dr",,38.755850,-77.236040,,,,,,1
792,2333,"Hooes Rd and Sydenstricker Rd",,38.756000,-77.238429,,,,,,1
793,2336,"Herndon Pkwy and Summerfield Dr",,38.969290,-77.406130,,,,,,1
794,2337,"Herndon Pkwy and Bayshire La",,38.976680,-77.403660,,,,,,1
795,2338,"Herndon Pkwy and Bayshire La",,38.976376,-77.404080,,,,,,1
796,2339,"Herndon Pkwy and Buchannan Dr",,38.965170,-77.371910,,,,,,1
797,2340,"Herndon Pkwy and Campbell Way",,38.959910,-77.394410,,,,,,1
798,2341,"Herndon Pkwy and Cavendish St",,38.980250,-77.371070,,,,,,1
799,2342,"Herndon Pkwy and Campbell Way",,38.959870,-77.394840,,,,,,1
800,2343,"Herndon Pkwy and Cavendish St",,38.980190,-77.370679,,,,,,1
801,2344,"Herndon Pkwy and Cordell Way",,38.967748,-77.371620,,,,,,1
802,2345,"Herndon Pkwy and Crestview Dr",,38.977990,-77.398940,,,,,,1
803,2346,"Herndon Pkwy and Crestview Dr",,38.977830,-77.399480,,,,,,1
804,2347,"Herndon Pkwy and Elden St W",,38.963390,-77.400180,,,,,,1
805,2348,"Herndon Pkwy and Cavalier Dr",,38.979760,-77.389290,,,,,,1
806,2349,"Herndon Pkwy and Palmer Dr",,38.958880,-77.392190,,,,,,1
807,2350,"Herndon Pkwy and Dulles Pl",,38.973010,-77.405700,,,,,,1
808,2351,"Herndon Pkwy and Dulles Pl",,38.972680,-77.405590,,,,,,1
809,2352,"Herndon Pkwy and Elden St S",,38.962070,-77.398170,,,,,,1
810,2353,"Herndon Pkwy and Early Fall Ct",,38.966250,-77.403230,,,,,,1
813,2356,"1110 Herndon Pkwy",,38.963470,-77.399930,,,,,,1
814,2357,"Herndon Pkwy and Exchange Pl",,38.954910,-77.379900,,,,,,1
815,2358,"Herndon Pkwy and Exchange Pl",,38.954530,-77.380370,,,,,,1
816,2359,"570 Herndon Pkwy",,38.955060,-77.384370,,,,,,1
817,2360,"Herndon Pkwy and Van Buren St",,38.955950,-77.386540,,,,,,1
818,2361,"Herndon Pkwy and Fairbrook Dr",,38.956210,-77.378430,,,,,,1
819,2362,"Herndon Pkwy and Fairbrook Dr",,38.955840,-77.378460,,,,,,1
820,2363,"Herndon Pkwy and Ferndale Ave",,38.978980,-77.392670,,,,,,1
821,2364,"Herndon Pkwy and Ferndale Ave",,38.978780,-77.392540,,,,,,1
822,2365,"Herndon Pkwy and Grant St",,38.982360,-77.381940,,,,,,1
824,2367,"Herndon Pkwy and Grant St",,38.982130,-77.381810,,,,,,1
825,2368,"Herndon Pkwy and Grove St",,38.963197,-77.371501,,,,,,1
826,2369,"Herndon Pkwy and Grove St",,38.961600,-77.372330,,,,,,1
827,2370,"Herndon Pkwy and Juniper Ct",,38.960600,-77.396690,,,,,,1
828,2371,"Herndon Pkwy and Leona La",,38.973449,-77.370195,,,,,,1
829,2372,"Herndon Pkwy and Leona La",,38.974286,-77.370223,,,,,,1
830,2373,"Herndon Pkwy and Missouri Ave",,38.958060,-77.389290,,,,,,1
831,2374,"Herndon Pkwy and Missouri Ave",,38.958050,-77.389730,,,,,,1
832,2375,"Herndon Pkwy and Monroe St",,38.982970,-77.385630,,,,,,1
833,2376,"Herndon Pkwy and Monroe St",,38.982760,-77.385540,,,,,,1
834,2377,"Herndon Pkwy and Palmer Dr",,38.959010,-77.391740,,,,,,1
835,2378,"Herndon Pkwy and Elden St",,38.962210,-77.398020,,,,,,1
837,2380,"Herndon Pkwy and Queens Row St",,38.976720,-77.370940,,,,,,1
838,2381,"Herndon Pkwy and Reneau Way",,38.970190,-77.370110,,,,,,1
839,2383,"Herndon Pkwy and Sterling Rd",,38.974884,-77.404868,,,,,,1
840,2384,"Herndon Pkwy and Sterling Rd",,38.975050,-77.404510,,,,,,1
841,2385,"Herndon Pkwy and Stevenson Ct",,38.979960,-77.389460,,,,,,1
842,2386,"Herndon Pkwy and Spring St",,38.959769,-77.373395,,,,,,1
843,2387,"Herndon Pkwy and Spring St",,38.958380,-77.375130,,,,,,1
844,2388,"Herndon Pkwy and Spring St",,38.958640,-77.374450,,,,,,1
845,2389,"Herndon Pkwy and Spring St",,38.959347,-77.373435,,,,,,1
846,2390,"Herndon Pkwy and Herndon Police Dept",,38.961625,-77.371939,,,,,,1
847,2391,"Herndon Pkwy and Springtide Pl",,38.967460,-77.404660,,,,,,1
848,2392,"Herndon Pkwy and Springtide Pl",,38.967330,-77.404860,,,,,,1
849,2393,"Herndon Pkwy and Summerfield Dr",,38.970020,-77.406680,,,,,,1
850,2394,"Herndon Pkwy and Summerfield Dr",,38.966210,-77.402740,,,,,,1
851,2395,"Herndon Pkwy and Tamarack Way",,38.967744,-77.371211,,,,,,1
852,2396,"Herndon Pkwy and Van Buren St",,38.957021,-77.387551,,,,,,1
853,2397,"570 Herndon Pkwy",,38.954820,-77.384150,,,,,,1
854,2399,"Huntington Ave and Biscayne Dr",,38.794850,-77.072350,,,,,,0
855,2400,"Huntington Ave and Mount Vernon",,38.794190,-77.070870,,,,,,0
857,2411,"Huntington Ave and Foley St",,38.791300,-77.066420,,,,,,0
858,2413,"Hummer Rd and Frontage Rd",,38.833650,-77.210480,,,,,,1
859,2416,"Huntington Ave and Hunting Creek Rd",,38.790418,-77.065551,,,,,,1
860,2419,"Hummer Rd and Horseshoe Dr",,38.835710,-77.209830,,,,,,1
861,2420,"Huntington Ave and Indian Dr",,38.796850,-77.076550,,,,,,1
863,2423,"Hummer Rd and Marshall Dr",,38.844490,-77.204550,,,,,,1
864,2424,"Hummer Rd and Marshall Dr",,38.844120,-77.204710,,,,,,1
865,2425,"Huntington Ave and Metroview Pkwy",,38.797070,-77.076560,,,,,,1
866,2427,"Hummer Rd and Royce St",,38.838772,-77.208503,,,,,,1
867,2428,"Hummer Rd and Royce Ct",,38.838430,-77.208410,,,,,,1
868,2433,"Hunter Mill Rd and Sunrise Valley Dr",,38.943453,-77.312722,,,,,,1
869,2435,"Hummer Rd and Walton La",,38.841060,-77.207270,,,,,,1
870,2436,"Hunters Woods Fellowship House",,38.937080,-77.361060,,,,,,1
871,2437,"Hunters Woods Village Ctr",,38.937480,-77.362070,,,,,,1
872,2439,"Industrial Rd and Fairfax Archives",,38.798440,-77.179590,,,,,,1
873,2442,"International Dr and Greensboro Dr",,38.923675,-77.226873,,,,,,1
875,2446,"International Dr and Fletcher Dr",,38.916610,-77.225370,,,,,,0
876,2447,"International Dr and Chain Bridg",,38.918470,-77.225480,,,,,,0
882,2458,"8000 Jones Branch Dr",,38.931553,-77.221254,,,,,,1
883,2459,"Jones Branch Dr and Freddie Mac Ctr",,38.931648,-77.224893,,,,,,1
884,2460,"Jones Branch Dr and Lincoln Ctr",,38.932056,-77.230243,,,,,,1
885,2461,"Jones Branch Dr and Park Run Dr",,38.932030,-77.226817,,,,,,1
886,2462,"Jones Branch Dr and Park Run Dr",,38.931929,-77.227450,,,,,,1
887,2463,"Jones Branch Dr and Westpark Dr",,38.926421,-77.217587,,,,,,1
888,2465,"7940 Jones Branch Dr",,38.930519,-77.216763,,,,,,1
889,2466,"Jones Branch Dr and Westbranch Dr",,38.931557,-77.218885,,,,,,1
890,2475,"John Marr Dr and Tom David Dr",,38.830478,-77.189759,,,,,,1
891,2479,"Joseph Siewick Dr and Alder Woods Dr",,38.882660,-77.381940,,,,,,1
892,2486,"King Centre Dr and Barclay Dr",,38.768240,-77.137890,,,,,,1
893,2488,"King Center Dr and Barclay Dr",,38.767690,-77.138388,,,,,,1
894,2489,"King Centre Dr and Sir Viceroy Dr",,38.769427,-77.134066,,,,,,1
895,2490,"South Kings Hwy and Lantern Pl",,38.769250,-77.113270,,,,,,1
896,2491,"Kinross Cir and Allness La",,38.915130,-77.416270,,,,,,1
897,2493,"Kingsbury Rd and Broadmoor St",,38.749600,-77.132270,,,,,,1
898,2494,"Kinross Cir and Centreville Rd",,38.920130,-77.417350,,,,,,1
899,2497,"Kinross Cir and Glen Taylor La (East)",,38.917950,-77.407980,,,,,,1
900,2498,"3210 Kinross Cir",,38.913710,-77.409640,,,,,,1
901,2499,"Kinross Cir and Kilbrennan Ct",,38.917120,-77.418940,,,,,,1
902,6459,"Sacremento Dr and Richmond Hwy",,38.720823,-77.125861,,,,,,1
903,2501,"Kinross Cir and Kinbrace Rd",,38.914360,-77.413000,,,,,,1
904,2502,"Kingstowne Blvd and Kingstowne Village Pkwy",,38.769710,-77.139229,,,,,,1
905,2503,"Kingstowne Blvd and Kingstowne Village Pkwy",,38.770097,-77.137847,,,,,,1
906,2504,"Kinross Cir and Kirkwell Pl",,38.918020,-77.413500,,,,,,1
907,2507,"Kinross Cir and Ravenscraig Ct",,38.914740,-77.415420,,,,,,1
908,2509,"Kinross Cir and Ramesses Ct",,38.919060,-77.415350,,,,,,1
909,2511,"Kinross Cir and Scotsmore Way",,38.916950,-77.406900,,,,,,1
910,2513,"Kinross Cir and Stone Heather Dr",,38.914650,-77.407300,,,,,,1
911,2515,"Kinross Cir and Glen Taylor La (West)",,38.918170,-77.410880,,,,,,1
